n,execution_time
50,.016195437
100,.026014125
150,.042512007
200,.058670663
250,.010380060
300,.297061816
350,.262929860
400,.273664312
450,.743131271
500,.880183751
550,.837923698
600,1.308807454
650,1.414174871
700,1.647223932
750,1.725604884
800,2.611605805
850,4.125643618
900,2.455917153
950,7.946939057
1000,2.412918024
1050,4.211513893
1100,10.706300857
1150,6.756761335
1200,3.724643430
1250,16.985958438
1300,15.832646249
1350,1.371634574
1400,2.282411912
1450,22.202580943
1500,3.245534889
1550,8.409818881
1600,15.355518980
1650,6.168756850
1700,4.873836585
1750,19.838458919
1800,26.910228161
1850,40.514101206
1900,5.399248826
1950,6.804329212
2000,15.772216860
